,Model,accuracy,confusion,f1,precision,recall,train_size
135,SVM BoW,0.8673718470301057,"[[2.498e+02 3.800e+00 1.880e+01 8.600e+00 3.200e+00]
 [4.600e+00 2.458e+02 4.400e+00 4.400e+00 3.000e+00]
 [2.000e+01 6.000e+00 1.262e+02 2.080e+01 4.800e+00]
 [1.020e+01 4.200e+00 3.580e+01 2.670e+02 4.000e-01]
 [4.000e+00 4.800e+00 2.000e-01 1.000e+00 1.772e+02]]",0.8610091969900493,0.860326050592746,0.8634113812437405,1120
136,SVM TFIDF,0.8738812042310821,"[[253.6   4.4  19.6   7.4   3. ]
 [  5.6 247.6   4.4   5.6   3.2]
 [ 15.    4.4 121.6  16.6   2.4]
 [  9.4   3.4  38.6 271.2   0. ]
 [  5.    4.8   1.2   1.  180. ]]",0.8660482733545113,0.8650356473870113,0.870599314529386,1120
137,SVM W2V,0.5456468673718471,"[[163.6  27.4  51.6  30.2  29.4]
 [ 46.6 177.4  26.4  33.4  34.8]
 [  8.8   5.2  30.4  11.4  10.2]
 [ 48.2  39.4  60.8 209.2  24.2]
 [ 21.4  15.2  16.2  17.6  90. ]]",0.506088010460554,0.5153529003725599,0.5370980818683389,1120
138,SVM Hybrid,0.8711147274206672,"[[2.526e+02 5.600e+00 2.060e+01 8.400e+00 3.200e+00]
 [4.800e+00 2.450e+02 3.600e+00 5.600e+00 4.200e+00]
 [1.660e+01 4.200e+00 1.250e+02 1.660e+01 2.800e+00]
 [1.020e+01 4.800e+00 3.600e+01 2.698e+02 2.000e-01]
 [4.400e+00 5.000e+00 2.000e-01 1.400e+00 1.782e+02]]",0.8646719699077815,0.8632537332827892,0.8683401100237415,1120
139,SVM Hybrid B,0.8637917005695688,"[[2.500e+02 4.400e+00 1.900e+01 1.100e+01 3.200e+00]
 [5.000e+00 2.446e+02 3.800e+00 3.600e+00 3.600e+00]
 [1.780e+01 6.000e+00 1.256e+02 2.100e+01 4.600e+00]
 [1.120e+01 4.600e+00 3.680e+01 2.650e+02 8.000e-01]
 [4.600e+00 5.000e+00 2.000e-01 1.200e+00 1.764e+02]]",0.8577966970512853,0.8568534757048234,0.8604575688727607,1120
140,SVM BoW,0.8657695542472666,"[[241.4   3.6  17.2   7.4   2.8]
 [  5.  238.    4.4   4.2   2.8]
 [ 20.4   6.  121.2  20.8   4.4]
 [ 10.4   4.2  34.4 256.4   0.4]
 [  4.6   5.    0.4   1.2 172.4]]",0.8590755226821255,0.8590190852513666,0.8608282883340858,1160
141,SVM TFIDF,0.8755256518082423,"[[2.470e+02 4.000e+00 1.740e+01 7.000e+00 2.200e+00]
 [4.400e+00 2.408e+02 4.000e+00 5.200e+00 3.600e+00]
 [1.660e+01 3.600e+00 1.192e+02 1.700e+01 2.400e+00]
 [8.800e+00 3.800e+00 3.580e+01 2.596e+02 2.000e-01]
 [5.000e+00 4.600e+00 1.200e+00 1.200e+00 1.744e+02]]",0.86796796718737,0.8673035404295464,0.8713199122154396,1160
142,SVM W2V,0.5461732548359967,"[[158.4  25.6  47.8  28.4  28.8]
 [ 45.2 170.6  24.4  32.2  33.8]
 [  8.    6.   30.4  11.    9.6]
 [ 49.8  40.   58.6 201.6  22.2]
 [ 20.4  14.6  16.4  16.8  88.4]]",0.5079555352633299,0.5162934083542823,0.5390677368681327,1160
143,SVM Hybrid,0.8713204373423045,"[[2.454e+02 5.800e+00 1.860e+01 7.600e+00 2.800e+00]
 [5.000e+00 2.366e+02 3.400e+00 5.000e+00 4.400e+00]
 [1.640e+01 4.600e+00 1.216e+02 1.660e+01 2.600e+00]
 [1.080e+01 4.800e+00 3.380e+01 2.596e+02 2.000e-01]
 [4.200e+00 5.000e+00 2.000e-01 1.200e+00 1.728e+02]]",0.8651399249064038,0.8638580369756836,0.86834254259944,1160
144,SVM Hybrid B,0.8634146341463416,"[[2.438e+02 4.800e+00 1.840e+01 9.800e+00 2.800e+00]
 [4.600e+00 2.364e+02 3.800e+00 3.600e+00 3.600e+00]
 [1.820e+01 5.800e+00 1.202e+02 2.060e+01 4.600e+00]
 [1.020e+01 4.600e+00 3.500e+01 2.550e+02 6.000e-01]
 [5.000e+00 5.200e+00 2.000e-01 1.000e+00 1.712e+02]]",0.8568576525411524,0.8561344985288096,0.858859057562468,1160
145,SVM BoW,0.867188859878155,"[[235.6   4.   17.4   7.    3. ]
 [  4.8 229.6   3.2   4.2   3. ]
 [ 18.8   5.6 116.4  20.8   4. ]
 [  9.8   4.6  31.8 248.8   0.8]
 [  3.6   4.2   0.8   1.2 166. ]]",0.8605465915924866,0.8600567005471443,0.8625422631407984,1200
146,SVM TFIDF,0.8746736292428198,"[[238.6   4.8  17.6   6.8   2.2]
 [  5.  230.6   3.    5.4   3.6]
 [ 16.2   4.2 114.2  16.    2. ]
 [  8.8   4.8  34.  252.6   0. ]
 [  4.    3.6   0.8   1.2 169. ]]",0.867584661445815,0.8662975402028168,0.8712383741830543,1200
147,SVM W2V,0.547432550043516,"[[153.6  24.8  45.   28.6  25.6]
 [ 43.2 165.4  23.   31.6  32. ]
 [  8.2   5.   28.4  10.8  10. ]
 [ 46.4  37.8  57.  194.8  22.4]
 [ 21.2  15.   16.2  16.2  86.8]]",0.5079628676469521,0.5169731009599542,0.5362238320821416,1200
148,SVM Hybrid,0.8706701479547432,"[[2.392e+02 5.400e+00 1.780e+01 8.600e+00 2.800e+00]
 [5.000e+00 2.286e+02 2.800e+00 4.600e+00 4.400e+00]
 [1.440e+01 4.600e+00 1.148e+02 1.680e+01 2.400e+00]
 [1.000e+01 5.000e+00 3.420e+01 2.508e+02 2.000e-01]
 [4.000e+00 4.400e+00 0.000e+00 1.200e+00 1.670e+02]]",0.8641194032798862,0.8623881305804681,0.8678132002651676,1200
149,SVM Hybrid B,0.8651000870322019,"[[2.376e+02 4.400e+00 1.760e+01 9.600e+00 2.800e+00]
 [5.400e+00 2.286e+02 3.600e+00 3.600e+00 3.400e+00]
 [1.580e+01 5.400e+00 1.152e+02 2.040e+01 4.400e+00]
 [9.800e+00 4.600e+00 3.300e+01 2.470e+02 6.000e-01]
 [4.000e+00 5.000e+00 2.000e-01 1.400e+00 1.656e+02]]",0.8583080156380216,0.8574122326709317,0.8602299029512015,1200
150,SVM BoW,0.8692515779981965,"[[2.268e+02 3.200e+00 1.620e+01 8.200e+00 2.800e+00]
 [4.200e+00 2.244e+02 3.600e+00 3.600e+00 3.200e+00]
 [2.000e+01 5.000e+00 1.128e+02 2.020e+01 4.000e+00]
 [8.400e+00 3.800e+00 3.040e+01 2.390e+02 2.000e-01]
 [3.400e+00 3.400e+00 0.000e+00 1.200e+00 1.610e+02]]",0.8626377436120032,0.8623394168268007,0.8643452009270811,1240
151,SVM TFIDF,0.8737601442741209,"[[2.286e+02 4.200e+00 1.720e+01 7.200e+00 2.800e+00]
 [3.600e+00 2.246e+02 3.400e+00 4.600e+00 2.800e+00]
 [1.760e+01 3.800e+00 1.096e+02 1.640e+01 2.200e+00]
 [8.600e+00 3.200e+00 3.160e+01 2.430e+02 2.000e-01]
 [4.400e+00 4.000e+00 1.200e+00 1.000e+00 1.632e+02]]",0.8661177245923541,0.8654602504386713,0.8689201543609812,1240
152,SVM W2V,0.5464382326420198,"[[148.2  24.   43.2  27.4  26.4]
 [ 42.  159.4  21.   31.2  31.8]
 [  8.4   5.2  27.6  10.2   8.8]
 [ 43.8  36.6  55.  188.2  21.6]
 [ 20.4  14.6  16.2  15.2  82.6]]",0.5069412938215164,0.5157036188641024,0.5367249986282763,1240
