,Model,accuracy,confusion,f1,precision,recall,train_size
116,LSTM BoW,0.9836379460400348,"[[2.790e+02 1.800e+00 4.000e-01 0.000e+00 2.800e+00]
 [1.400e+00 2.676e+02 6.000e-01 4.000e-01 3.800e+00]
 [0.000e+00 2.000e-01 2.464e+02 2.000e+00 0.000e+00]
 [0.000e+00 1.400e+00 4.000e-01 1.742e+02 0.000e+00]
 [1.600e+00 1.600e+00 2.000e-01 2.000e-01 1.630e+02]]",0.982971216172799,0.9822849913067184,0.983734442141133,1200
117,LSTM TFIDF,0.9850304612706701,"[[279.4   1.6   1.    0.    4.2]
 [  1.4 269.    0.6   0.4   2.8]
 [  0.    0.  245.8   1.4   0. ]
 [  0.    1.    0.6 175.    0. ]
 [  1.2   1.    0.    0.  162.6]]",0.9845855384884,0.9836397240434918,0.9857020730474966,1200
118,LSTM W2V,0.9916449086161879,"[[2.802e+02 0.000e+00 0.000e+00 2.000e-01 1.200e+00]
 [1.000e+00 2.718e+02 2.000e-01 2.000e-01 3.200e+00]
 [0.000e+00 4.000e-01 2.478e+02 1.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.744e+02 0.000e+00]
 [8.000e-01 0.000e+00 0.000e+00 1.000e+00 1.652e+02]]",0.9909486673539227,0.9900744169663035,0.9918878582852496,1200
119,LSTM Hybrid,0.9942558746736292,"[[279.6   0.    0.    0.    1. ]
 [  1.  271.8   0.    0.4   1. ]
 [  0.    0.  248.    1.    0. ]
 [  0.    0.4   0.  175.4   0. ]
 [  1.4   0.4   0.    0.  167.6]]",0.9939290750544674,0.9937957600137987,0.9940839302032561,1200
120,LSTM BoW,0.9857529305680794,"[[2.694e+02 8.000e-01 2.000e-01 0.000e+00 2.200e+00]
 [1.000e+00 2.592e+02 6.000e-01 4.000e-01 3.400e+00]
 [2.000e-01 2.000e-01 2.386e+02 2.200e+00 0.000e+00]
 [0.000e+00 1.200e+00 4.000e-01 1.686e+02 0.000e+00]
 [1.600e+00 1.400e+00 0.000e+00 0.000e+00 1.574e+02]]",0.9849999581747483,0.9844218352095122,0.9856535640700782,1240
121,LSTM TFIDF,0.9870153291253381,"[[269.8   1.4   1.    0.    2.6]
 [  1.2 260.    0.6   0.4   2.4]
 [  0.    0.  237.8   1.8   0. ]
 [  0.    0.8   0.4 169.    0. ]
 [  1.2   0.6   0.    0.  158. ]]",0.9867211991568526,0.9859157255961218,0.9876313409702027,1240
122,LSTM W2V,0.9920649233543732,"[[270.2   0.    0.    0.    1. ]
 [  1.  262.4   0.    0.4   3. ]
 [  0.    0.  239.8   1.    0. ]
 [  0.    0.4   0.  168.8   0. ]
 [  1.    0.    0.    1.  159. ]]",0.9912945253212291,0.9905098620296868,0.9921377430465105,1240
123,LSTM Hybrid,0.993507664562669,"[[2.692e+02 0.000e+00 0.000e+00 0.000e+00 1.000e+00]
 [1.000e+00 2.622e+02 0.000e+00 4.000e-01 1.200e+00]
 [0.000e+00 0.000e+00 2.398e+02 1.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.698e+02 0.000e+00]
 [2.000e+00 2.000e-01 0.000e+00 0.000e+00 1.608e+02]]",0.9931206828079858,0.993011902079757,0.9932530244257703,1240
124,LSTM BoW,0.9861552853133769,"[[2.602e+02 6.000e-01 0.000e+00 0.000e+00 2.600e+00]
 [1.000e+00 2.494e+02 6.000e-01 4.000e-01 3.000e+00]
 [2.000e-01 6.000e-01 2.308e+02 1.800e+00 0.000e+00]
 [0.000e+00 1.200e+00 6.000e-01 1.628e+02 0.000e+00]
 [1.600e+00 6.000e-01 0.000e+00 0.000e+00 1.510e+02]]",0.9854695834766574,0.9847812162066493,0.9862610302472794,1280
125,LSTM TFIDF,0.9870907390084191,"[[260.8   1.4   1.4   0.    2.2]
 [  1.2 249.2   0.6   0.4   1.6]
 [  0.    0.  229.6   1.8   0. ]
 [  0.    1.    0.4 162.8   0. ]
 [  1.    0.8   0.    0.  152.8]]",0.9869052768112292,0.9863577178054455,0.9875248777198629,1280
126,LSTM W2V,0.9910196445275959,"[[2.602e+02 0.000e+00 0.000e+00 0.000e+00 1.200e+00]
 [1.200e+00 2.520e+02 2.000e-01 4.000e-01 2.600e+00]
 [0.000e+00 0.000e+00 2.318e+02 1.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.626e+02 0.000e+00]
 [1.600e+00 0.000e+00 0.000e+00 1.000e+00 1.528e+02]]",0.9902504711479327,0.9896242674331515,0.9909339436238322,1280
127,LSTM Hybrid,0.9928905519176802,"[[259.8   0.    0.    0.    1. ]
 [  1.  252.    0.    0.8   1.2]
 [  0.    0.  232.    1.    0. ]
 [  0.    0.4   0.  163.2   0. ]
 [  2.2   0.    0.    0.  154.4]]",0.9924407938890933,0.9922647547677526,0.9926591874333666,1280
128,LSTM BoW,0.9881438289601554,"[[249.6   0.4   0.    0.    2. ]
 [  1.  240.6   0.6   0.4   2.6]
 [  0.    0.  223.6   1.4   0. ]
 [  0.    0.4   0.4 156.8   0. ]
 [  2.4   0.6   0.    0.  146.2]]",0.9874647872515666,0.9870230607224217,0.9879686840076884,1320
129,LSTM TFIDF,0.9875607385811467,"[[2.510e+02 1.200e+00 1.000e+00 0.000e+00 2.400e+00]
 [1.200e+00 2.392e+02 6.000e-01 4.000e-01 1.000e+00]
 [0.000e+00 0.000e+00 2.226e+02 2.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 4.000e-01 1.560e+02 0.000e+00]
 [8.000e-01 1.200e+00 0.000e+00 2.000e-01 1.474e+02]]",0.9872764410606875,0.9867031327223845,0.9879410283740657,1320
130,LSTM W2V,0.9937803692905733,"[[252.    0.    0.    0.    1. ]
 [  1.  241.6   0.6   0.4   1.4]
 [  0.    0.  224.    0.6   0. ]
 [  0.    0.4   0.  156.6   0. ]
 [  0.    0.    0.    1.  148.4]]",0.9933000171146513,0.9926447732554008,0.9939971433859915,1320
